Date,NAV,Change,Fund Name,AMC Name,Launch Date,AUM (Crore),TER (%),Return (%),YTM (%),1W (%),1M (%),3M (%),6M (%),YTD (%),1Y (%),2Y (%),3Y (%),5Y (%),1W_Rank_Out_Of_12,1M_Rank_Out_Of_12,3M_Rank_Out_Of_12,6M_Rank_Out_Of_12,YTD_Rank_Out_Of_12,1Y_Rank_Out_Of_12,2Y_Rank_Out_Of_12,3Y_Rank_Out_Of_12,5Y_Rank_Out_Of_8,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,1Y,2Y,3Y,5Y,% Debt Holding,No of debt holdings,% Cash Holding
27-10-2025,13.6712,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
24-10-2025,13.6717,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
23-10-2025,13.6704,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
20-10-2025,13.6708,0.01,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
17-10-2025,13.6651,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
16-10-2025,13.6635,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
15-10-2025,13.6623,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
14-10-2025,13.6666,-0.01,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
13-10-2025,13.6768,-0.01,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
10-10-2025,13.6881,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
09-10-2025,13.6834,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
08-10-2025,13.6836,0,SBI Floating Rate Debt Fund Direct - Growth,SBIMF,27-10-2020,794.84,0.25,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7,0.68,0.42,2.87,1.28,0.05,0.0355,0.0786,0.1238,0.1987,0.8888,11,0.1112
