Date,NAV,Change,Change(%),Fund Name,Plan,AMC Name,Launch Date,AUM (Crore),TER (%),Invested Amount,Current Value,Return (%),YTM,1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,1W_Rank_Out_Of_12,1M_Rank_Out_Of_12,3M_Rank_Out_Of_12,6M_Rank_Out_Of_12,YTD_Rank_Out_Of_12,1Y_Rank_Out_Of_12,2Y_Rank_Out_Of_12,3Y_Rank_Out_Of_12,5Y_Rank_Out_Of_8
2025-10-07,13.6835,0.0,0.04,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-06,13.6786,0.01,0.05,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-03,13.672,0.01,0.04,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-10-01,13.6663,0.04,0.146900000000005,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-09-30,13.6294,0.0,0.0,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-09-29,13.6293,0.01,0.11,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-09-26,13.6147,0.01,0.05,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-09-25,13.6085,0.0,-0.01,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-09-24,13.6097,0.0,0.02,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-09-23,13.6071,0.0,0.02,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-09-22,13.6047,0.01,0.04,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
2025-09-19,13.5996,0.0,0.03,SBI Floating Rate Debt Fund Direct - Growth,Direct Plan,SBIMF,2020-10-27,794.84,0.25,600000,716799,7.26,6.6,0.11,0.23,1.22,3.12,6.61,7.41,8.02,7.92,6.46,11,12,12,11,12,12,11,10,7
